,NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UZA,UZA Name,Mode,TOS,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
29,8.0,0008,Tri-County Metropolitan Transportation District of Oregon,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",CR,PT,,,,,,,,271371.0,330753.0,400811.0,,,,,,,,,,,,
30,8.0,0008,Tri-County Metropolitan Transportation District of Oregon,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",DR,PT,887939.0,899042.0,998694.0,1027189.0,1076603.0,1100615.0,1105225.0,1080228.0,1069704.0,948612.0,934167.0,936446.0,922958.0,924696.0,905731.0,896547.0,880494.0,846322.0,340307.0,316464.0,447227.0,118316.0
31,8.0,0008,Tri-County Metropolitan Transportation District of Oregon,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",DR,TX,,,,,,,,,,115737.0,114389.0,108266.0,112019.0,126136.0,143757.0,109895.0,115653.0,100274.0,37050.0,28772.0,42893.0,15564.0
32,8.0,0008,Tri-County Metropolitan Transportation District of Oregon,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",LR,DO,25665600.0,26427700.0,30235000.0,32148200.0,33069600.0,34700400.0,35772900.0,35966000.0,44239796.0,45882927.0,40874980.0,38309800.0,38286600.0,38460200.0,40294200.0,39174630.0,38953160.0,38388070.0,19168820.0,16051580.0,20470514.0,5425670.0
33,8.0,0008,Tri-County Metropolitan Transportation District of Oregon,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",MB,DO,62918800.0,62514300.0,64326700.0,63676500.0,62818100.0,62609600.0,66759200.0,62758500.0,59128400.0,58723300.0,60383100.0,58807900.0,62230900.0,61471900.0,58292800.0,57412260.0,56727120.0,57374350.0,30216410.0,27908580.0,32437882.0,8631540.0
34,8.0,0008,Tri-County Metropolitan Transportation District of Oregon,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",SR,DO,,,,,,,,,,,3735720.0,,,,,,,,,,,
35,8.0,0008,Tri-County Metropolitan Transportation District of Oregon,Active,Full Reporter: Operating,24.0,"Portland, OR-WA",YR,PT,,,,,,,,,,,433870.0,476760.0,503050.0,459115.0,455170.0,432888.0,394708.0,361612.0,137369.0,88021.0,114846.0,26540.0
36,11.0,0011,Valley Regional Transit,Active,Full Reporter: Operating,108.0,"Boise City, ID",DR,DO,,34583.0,35223.0,34561.0,33906.0,39299.0,44390.0,35627.0,37178.0,41788.0,46829.0,48882.0,57960.0,57598.0,58041.0,44611.0,,,,,,
37,11.0,0011,Valley Regional Transit,Active,Full Reporter: Operating,108.0,"Boise City, ID",DR,PT,,1311.0,,3401.0,2469.0,2300.0,1967.0,1926.0,1405.0,,,,,,,17860.0,87610.0,109747.0,69143.0,100635.0,105722.0,28382.0
38,11.0,0011,Valley Regional Transit,Active,Full Reporter: Operating,108.0,"Boise City, ID",MB,DO,,1137936.0,699568.0,960341.0,949178.0,917394.0,1109972.0,1184883.0,1263073.0,1399539.0,1436882.0,1449687.0,1408750.0,1359519.0,1362879.0,1002984.0,,,,,,
