,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GA,49.901849519,48.247756164,48.999174699,54.407920019,56.02387256,58.752868227,61.292324055,60.59982301499999,63.571029122,66.22673605700001,66.583006402,66.200444407,67.022350978,68.01906160499999,68.47311904700001,71.227036839,67.97162397400001,66.830729244,61.45667605199999,63.77023291,65.592954043,62.900387081000005,60.7564051,62.147693918,60.863576535,65.008681752,61.819649809,65.77357019499998,64.313939546,62.804750779,56.975468221
HI,7.90297708,7.254340068,7.421068993,6.915377279,7.475721972,7.446635124,7.449417524999999,7.349773488999999,7.225283566999999,7.252892067999999,7.637796786999999,7.485465594,7.890265904,8.312069736,8.733247124,9.603515729,9.897567664,9.184645097,7.8690908419999985,7.292791486,8.166730967,8.478915280999999,8.399378152999997,8.700467079,8.821956459999999,8.854017166999999,8.94809192,9.310099485,9.234257069,9.442975879,6.195016676000001
IA,6.649234047,6.436728088,6.642484850000001,7.501821268999999,7.604214737,8.094364475999999,8.410624038000003,8.821033824999999,8.732693903,9.371598781999998,9.247919996,9.033392182,9.184688856,8.91210515,9.075577513,9.012999667,9.46389697,9.733429064,9.049367617,8.881593037,9.415019351000002,8.935100314,9.213338974,9.218271225,9.461619155,9.669607517,10.084753503,10.286667296,10.224799094000002,10.562689018,10.312083865000002
ID,55.500430067,54.279115936,56.462322663,58.710039742,58.767266552,61.613278207,63.563649549,68.38900167,64.329891053,70.913198935,72.58205633099999,70.634877849,70.845050496,71.46787850100002,73.67267174300001,78.9665975,75.460940523,75.24618146100002,71.138540482,68.13460648200002,68.181323684,66.827267551,64.985198454,64.84854969400001,66.00955518,70.933402804,67.21536141,67.23510110300002,67.315388554,65.08720822000001,54.126243244
IL,39.75112754,38.910556875,39.596354213,41.96560389,43.77832288,45.017632473000006,44.414204531,44.506900372,45.482472224,44.70723690799999,50.35403378,46.15916332,49.881835263,48.33801035,48.410397117,48.139723013,48.208558083,47.526734878,44.831119271,42.025299531,42.786131464,41.660988890000006,41.287481894,40.44023615,41.703144207,42.109286435,41.99324166,41.590613752,41.230250521,40.50192054600001,37.566147463
IN,17.668417627,16.743057660999998,16.853018969999997,17.338845922000004,18.617474114,19.277857670000003,20.362697952,20.268308383,21.215430425,21.363502035,21.274223398,21.048660045,21.556889966,21.776051249,22.417818544,22.392750603,22.621263430000003,22.816660757,22.313648739,21.424965599,21.956812795,22.000266838,21.155114739,21.094233347,21.852965842,21.27939066,22.371574316000004,21.386912753,21.770056497,21.626825321,20.022249133000003
KS,18.559882701,17.220575465,17.210615702999995,17.973509504999996,17.40512882,18.36866726,19.310960641,19.61367817,19.732800508,21.001966665,19.931987918,18.76061511,19.015316546,20.770935214,19.929617603,18.135198437000003,19.063230805,19.520394625,19.16515384,18.853780583,18.991578621,18.258129416000003,17.676195854,17.820058664,18.610631143,17.722298579,17.655502681,16.680422218000004,17.859489825,18.231447248,16.932899833
KY,25.660430366,24.516981307,26.797869848,27.771267617000003,28.044751615000003,28.574374703,27.442914932000004,30.391797834,30.883426533,31.89037625,32.469207312,32.60163646699999,33.49140207800001,33.341855332,34.410320935,33.164000926,32.670871240000004,33.193691531,31.148826636000003,31.490864002,31.551769377,30.961660533000003,29.876109275,29.123725002,30.262190274,30.211758949,30.339660909,30.867859651,32.108480598,32.288085526,30.445815859
LA,33.829281181,34.480185576000004,36.520546795,36.994609879,39.543033983,39.594606527,41.736821341,38.6054534,38.209375406,41.636239525,46.89170657300001,41.394149062,43.147726988,43.391072502,41.773406823,40.28270406299999,42.91637714,39.234206849,36.329164947,35.815426798,31.542108236,32.137835014000004,30.639204618,30.20796237,29.924572274000003,28.924789044,30.922639699000005,32.27324066600001,32.381744139999995,34.684110864000004,32.486111245
MA,7.63498393,7.421591082,7.540637311,7.482558266000001,7.545510752,7.436392189999999,7.869607883,8.249141584999998,7.993436774000001,8.535461086,8.959900635,7.906172312,8.942665277000001,9.853233755,8.935749422,9.306031409,9.205980004,8.941488414,8.358091555,8.445077582999998,8.20949327,8.264692295999998,7.797720851999999,8.575124897,8.639862134000001,8.491137195999999,8.537084637,7.840292295,7.233272855999999,7.101893282000001,6.547664019000001
